Realtime_Seconds,Realtime_Nanoseconds,Interval_Unknown,Total_Unknown,Interval_Dropped,Total_Dropped,Interval_Truncated,Total_Truncated,Current_Queue,Max_Queue
1783894357,388226087,0,0,0,0,0,0,0,1
1783894358,388225539,1,1,0,0,1,1,0,1
1783894359,388225176,0,1,0,0,0,1,0,1
1783894360,388218443,0,1,0,0,0,1,0,1
1783894361,388225396,0,1,0,0,0,1,0,1
1783894362,388233422,0,1,0,0,0,1,0,1
1783894363,388237374,0,1,0,0,0,1,0,1
1783894364,388233049,0,1,0,0,0,1,0,1
1783894365,388243891,0,1,0,0,0,1,0,1
1783894366,388239825,0,1,0,0,0,1,0,1
1783894367,388243167,0,1,0,0,0,1,0,1
1783894368,388241453,0,1,0,0,0,1,0,1
1783894369,388241499,0,1,0,0,0,1,0,1
1783894370,388235637,0,1,0,0,0,1,0,1
1783894371,388237628,0,1,0,0,0,1,0,1
1783894372,388240192,0,1,0,0,0,1,0,1
1783894373,388251146,0,1,0,0,0,1,0,1
1783894374,388238914,0,1,0,0,0,1,0,1
1783894375,388238238,0,1,0,0,0,1,0,1
1783894376,388241988,0,1,0,0,0,1,0,1
1783894377,388243239,0,1,0,0,0,1,0,1
1783894378,388240211,0,1,0,0,0,1,0,1
1783894379,388240647,0,1,0,0,0,1,0,1
1783894380,388242249,0,1,0,0,0,1,0,1
1783894381,388243241,0,1,0,0,0,1,0,1
1783894382,388240695,0,1,0,0,0,1,0,1
1783894383,388249631,0,1,0,0,0,1,0,1
1783894384,388235642,0,1,0,0,0,1,0,1
1783894385,388236059,0,1,0,0,0,1,0,1
1783894386,388238977,0,1,0,0,0,1,0,1
1783894387,388240525,0,1,0,0,0,1,0,1
1783894388,388240980,0,1,0,0,0,1,0,0
1783894389,388235010,0,1,0,0,0,1,0,1
1783894390,388245075,0,1,0,0,0,1,0,1
1783894391,388243605,0,1,0,0,0,1,0,1
1783894392,388238764,0,1,0,0,0,1,0,1
1783894393,388242479,0,1,0,0,0,1,0,1
1783894394,388239435,0,1,0,0,0,1,0,1
1783894395,388240817,0,1,0,0,0,1,0,1
1783894396,388240217,0,1,0,0,0,1,0,1
1783894397,388239821,0,1,0,0,0,1,0,1
1783894398,388238722,0,1,0,0,0,1,0,1
1783894399,388238733,0,1,0,0,0,1,0,1
1783894400,388239764,0,1,0,0,0,1,0,1
1783894401,388236980,0,1,0,0,0,1,0,1
1783894402,388238010,0,1,0,0,0,1,0,1
1783894403,388238596,0,1,0,0,0,1,0,1
1783894404,388240905,0,1,0,0,0,1,0,1
1783894405,388244065,0,1,0,0,0,1,0,1
1783894406,388266726,0,1,0,0,0,1,0,1
1783894407,388234109,0,1,0,0,0,1,0,1
1783894408,388238529,0,1,0,0,0,1,0,1
1783894409,388238505,0,1,0,0,0,1,0,1
1783894410,388235073,0,1,0,0,0,1,0,1
1783894411,388240679,0,1,0,0,0,1,0,1
1783894412,388240970,0,1,0,0,0,1,0,1
1783894413,388235483,0,1,0,0,0,1,0,1
1783894414,388239774,0,1,0,0,0,1,0,1
1783894415,388239621,0,1,0,0,0,1,0,1
1783894416,388235838,0,1,0,0,0,1,0,1
1783894417,388239444,0,1,0,0,0,1,0,1
1783894418,388235736,0,1,0,0,0,1,0,1
1783894419,388235842,0,1,0,0,0,1,0,1
1783894420,388240411,0,1,0,0,0,1,0,1
1783894421,388235351,0,1,0,0,0,1,0,1
1783894422,388241254,0,1,0,0,0,1,0,1
1783894423,388239805,0,1,0,0,0,1,0,1
1783894424,388232986,0,1,0,0,0,1,0,1
1783894425,388236686,0,1,0,0,0,1,0,1
1783894426,388235663,0,1,0,0,0,1,0,1
1783894427,388240177,0,1,0,0,0,1,0,1
1783894428,388238933,0,1,0,0,0,1,0,1
1783894429,388239077,0,1,0,0,0,1,0,1
1783894430,388239148,0,1,0,0,0,1,0,1
1783894431,388238644,0,1,0,0,0,1,0,1
1783894432,388237511,0,1,0,0,0,1,0,1
1783894433,388235119,0,1,0,0,0,1,0,1
1783894434,388235189,0,1,0,0,0,1,0,1
1783894435,388234723,0,1,0,0,0,1,0,1
1783894436,388234794,0,1,0,0,0,1,0,1
1783894437,388234106,0,1,0,0,0,1,0,1
1783894438,388233973,0,1,0,0,0,1,0,1
1783894439,388239600,0,1,0,0,0,1,0,1
1783894440,388237838,0,1,0,0,0,1,0,1
1783894441,388242279,0,1,0,0,0,1,0,1
1783894442,388236684,0,1,0,0,0,1,0,1
1783894443,388235737,0,1,0,0,0,1,0,1
1783894444,388233791,0,1,0,0,0,1,0,1
1783894445,388234196,0,1,0,0,0,1,0,1
1783894446,388234805,0,1,0,0,0,1,0,1
1783894447,388235340,0,1,0,0,0,1,0,1
1783894448,388239689,0,1,0,0,0,1,0,1
1783894449,388238928,0,1,0,0,0,1,0,1
1783894450,388235667,0,1,0,0,0,1,0,1
1783894451,388233406,0,1,0,0,0,1,0,1
1783894452,388232275,0,1,0,0,0,1,0,1
1783894453,388230774,0,1,0,0,0,1,0,1
1783894454,388234012,0,1,0,0,0,1,0,1
1783894455,388240048,0,1,0,0,0,1,0,1
1783894456,388233639,0,1,0,0,0,1,0,1
1783894457,388233972,0,1,0,0,0,1,0,1
1783894458,388234026,0,1,0,0,0,1,0,1
1783894459,388234154,0,1,0,0,0,1,0,1
1783894460,388233728,0,1,0,0,0,1,0,1
1783894461,388232857,0,1,0,0,0,1,0,1
1783894462,388230522,0,1,0,0,0,1,0,1
1783894463,388233059,0,1,0,0,0,1,0,1
1783894464,388232484,0,1,0,0,0,1,0,1
1783894465,388233280,0,1,0,0,0,1,0,1
1783894466,388234909,0,1,0,0,0,1,0,1
1783894467,388233335,0,1,0,0,0,1,0,1
1783894468,388234167,0,1,0,0,0,1,0,1
1783894469,388232575,0,1,0,0,0,1,0,1
1783894470,388233464,0,1,0,0,0,1,0,1
1783894471,388233612,0,1,0,0,0,1,0,1
1783894472,388233352,0,1,0,0,0,1,0,1
1783894473,388232278,0,1,0,0,0,1,0,1
1783894474,388239094,0,1,0,0,0,1,0,1
1783894475,388236446,0,1,0,0,0,1,0,1
1783894476,388238613,0,1,0,0,0,1,0,1
1783894477,388233817,0,1,0,0,0,1,0,1
1783894478,388238355,0,1,0,0,0,1,0,1
1783894479,388234282,0,1,0,0,0,1,0,1
1783894480,388234875,0,1,0,0,0,1,0,1
1783894481,388234580,0,1,0,0,0,1,0,1
1783894482,388234136,0,1,0,0,0,1,0,1
1783894483,388236063,0,1,0,0,0,1,0,1
1783894484,388234139,0,1,0,0,0,1,0,1
1783894485,388239029,0,1,0,0,0,1,0,1
1783894486,388235678,0,1,0,0,0,1,0,1
1783894487,388233087,0,1,0,0,0,1,0,1
1783894488,388233163,0,1,0,0,0,1,0,1
1783894489,388232127,0,1,0,0,0,1,0,1
1783894490,388222647,0,1,0,0,0,1,0,1
1783894491,388241445,0,1,0,0,0,1,0,1
1783894492,388242428,0,1,0,0,0,1,0,1
1783894493,388242004,0,1,0,0,0,1,0,1
1783894494,388245451,0,1,0,0,0,1,0,1
1783894495,388244305,0,1,0,0,0,1,0,1
1783894496,388247048,0,1,0,0,0,1,0,1
1783894497,388243883,0,1,0,0,0,1,0,1
1783894498,388245923,0,1,0,0,0,1,0,1
1783894499,388246425,0,1,0,0,0,1,0,1
1783894500,388241539,0,1,0,0,0,1,0,1
1783894501,388254004,0,1,0,0,0,1,0,1
1783894502,388243859,0,1,0,0,0,1,0,1
1783894503,388251009,0,1,0,0,0,1,0,1
1783894504,388244660,0,1,0,0,0,1,0,1
1783894505,388267848,0,1,0,0,0,1,0,1
1783894506,388246925,0,1,0,0,0,1,0,1
1783894507,388256299,0,1,0,0,0,1,0,1
1783894508,388238154,0,1,0,0,0,1,0,1
1783894509,388257879,0,1,0,0,0,1,0,1
1783894510,388241864,0,1,0,0,0,1,0,1
1783894511,388246942,0,1,0,0,0,1,0,1
1783894512,388244834,0,1,0,0,0,1,0,1
1783894513,388244337,0,1,0,0,0,1,0,1
1783894514,388244749,0,1,0,0,0,1,0,1
1783894515,388241252,0,1,0,0,0,1,0,1
1783894516,388241904,0,1,0,0,0,1,0,1
1783894517,388253593,0,1,0,0,0,1,0,1
1783894518,388247282,0,1,0,0,0,1,0,1
1783894519,388245490,0,1,0,0,0,1,0,1
1783894520,388248272,0,1,0,0,0,1,0,1
1783894521,388259535,0,1,0,0,0,1,0,0
